event-id,visible,timestamp,activity-x,activity-y,activity-z,external-temperature,gps:satellite-count,gps-time-to-fix,ground-speed,tag-voltage,sensor-type,geometry,individual-tag-local-identifier,n_na
33548985338,TRUE,2024-03-16T04:49:00Z,NA,NA,NA,NA,3,36,NA,NA,gps,"c(-90.301133, -0.670017)",NR87_OWL01,6
33548985347,TRUE,2024-03-16T04:50:00Z,NA,NA,NA,NA,5,17,NA,NA,gps,"c(-90.299667, -0.670433)",NR87_OWL01,6
33548985349,TRUE,2024-03-16T04:51:00Z,NA,NA,NA,NA,4,9,NA,NA,gps,"c(-90.299633, -0.670433)",NR87_OWL01,6
33548985357,TRUE,2024-03-16T05:52:00Z,NA,NA,NA,NA,4,4,NA,NA,gps,"c(-90.299333, -0.670383)",NR87_OWL01,6
33548985334,TRUE,2024-03-16T06:52:00Z,NA,NA,NA,NA,3,5,NA,NA,gps,"c(-90.30165, -0.66875)",NR87_OWL01,6
33548985335,TRUE,2024-03-16T07:52:00Z,NA,NA,NA,NA,3,10,NA,NA,gps,"c(-90.301617, -0.66875)",NR87_OWL01,6
33548985327,TRUE,2024-03-16T08:53:00Z,NA,NA,NA,NA,3,35,NA,NA,gps,"c(-90.302017, -0.668733)",NR87_OWL01,6
33548985328,TRUE,2024-03-16T09:53:00Z,NA,NA,NA,NA,4,4,NA,NA,gps,"c(-90.302, -0.66875)",NR87_OWL01,6
33548985329,TRUE,2024-03-16T10:54:00Z,NA,NA,NA,NA,5,5,NA,NA,gps,"c(-90.301983, -0.66875)",NR87_OWL01,6
33548985202,TRUE,2024-03-16T11:54:00Z,NA,NA,NA,NA,5,7,NA,NA,gps,"c(-90.317933, -0.646183)",NR87_OWL01,6
33548985205,TRUE,2024-03-16T12:55:00Z,NA,NA,NA,NA,3,30,NA,NA,gps,"c(-90.317917, -0.64625)",NR87_OWL01,6
33548985206,TRUE,2024-03-16T13:55:00Z,NA,NA,NA,NA,6,5,NA,NA,gps,"c(-90.317917, -0.646217)",NR87_OWL01,6
33548985209,TRUE,2024-03-16T14:55:00Z,NA,NA,NA,NA,5,7,NA,NA,gps,"c(-90.3179, -0.646217)",NR87_OWL01,6
33548985207,TRUE,2024-03-16T15:55:00Z,NA,NA,NA,NA,5,6,NA,NA,gps,"c(-90.317917, -0.64625)",NR87_OWL01,6
33548985203,TRUE,2024-03-16T16:56:00Z,NA,NA,NA,NA,3,27,NA,NA,gps,"c(-90.317933, -0.646267)",NR87_OWL01,6
33548985211,TRUE,2024-03-16T22:01:00Z,NA,NA,NA,NA,3,34,NA,NA,gps,"c(-90.317883, -0.646367)",NR87_OWL01,6
33548985212,TRUE,2024-03-16T23:01:00Z,NA,NA,NA,NA,4,12,NA,NA,gps,"c(-90.317883, -0.64635)",NR87_OWL01,6
33548985218,TRUE,2024-03-17T00:02:00Z,NA,NA,NA,NA,3,11,NA,NA,gps,"c(-90.317683, -0.64625)",NR87_OWL01,6
33548985037,TRUE,2024-03-17T01:02:00Z,NA,NA,NA,NA,4,7,NA,NA,gps,"c(-90.320333, -0.641667)",NR87_OWL01,6
33548985308,TRUE,2024-03-17T02:03:00Z,NA,NA,NA,NA,3,22,NA,NA,gps,"c(-90.305617, -0.6633)",NR87_OWL01,6
33548985366,TRUE,2024-03-17T03:03:00Z,NA,NA,NA,NA,5,6,NA,NA,gps,"c(-90.29715, -0.666483)",NR87_OWL01,6
33548985370,TRUE,2024-03-17T04:03:00Z,NA,NA,NA,NA,4,14,NA,NA,gps,"c(-90.29705, -0.66645)",NR87_OWL01,6
33548985365,TRUE,2024-03-17T05:04:00Z,NA,NA,NA,NA,3,32,NA,NA,gps,"c(-90.297167, -0.666433)",NR87_OWL01,6
33548985367,TRUE,2024-03-17T06:05:00Z,NA,NA,NA,NA,3,25,NA,NA,gps,"c(-90.29715, -0.6664)",NR87_OWL01,6
